Empresa;Código;Código Yahoo;Setor
SAO CARLOS;SCAR3;SCAR3.SA;Exploração de Imóveis
BR BROKERS;BBRK3;BBRK3.SA;Intermediação Imobiliária
LOPES BRASIL;LPSB3;LPSB3.SA;Intermediação Imobiliária
MONT ARANHA;MOAR3;MOAR3.SA;Holdings Diversificadas
SPRINGER;SPRI3;SPRI3.SA;Holdings Diversificadas
ATOMPAR;ATOM3;ATOM3.SA;Outros
CIMS;CMSA;CMSA;Outros
J B DUARTE;JBDU3;JBDU3.SA;Outros
LONGDIS;SPRT;SPRT;Outros
SELECTPART;SLCT;SLCT;Outros
